호선명,지하철역,무임승차인원,무임하차인원,작업일자
1호선,서울역,247801,242107,20190603
우이신설선,북한산우이,41660,41735,20190603
우이신설선,성신여대입구(돈암),34415,32373,20190603
우이신설선,화계,42866,43383,20190603
우이신설선,정릉,48775,45712,20190603
우이신설선,북한산보국문,45041,45814,20190603
우이신설선,솔샘,38536,39725,20190603
우이신설선,보문,17275,17703,20190603
우이신설선,솔밭공원,29918,31243,20190603
일산선,주엽,108784,114878,20190603
일산선,대화,109124,97749,20190603
일산선,삼송,99101,98873,20190603
일산선,대곡,13761,12481,20190603
일산선,화정,149790,152915,20190603
일산선,정발산,93378,88634,20190603
일산선,원흥,50145,47905,20190603
일산선,백석,88619,87222,20190603
일산선,원당,95977,94725,20190603
일산선,마두,86513,89160,20190603
장항선,봉명,14718,14162,20190603
장항선,신창(순천향대),9114,8470,20190603
장항선,쌍용(나사렛대),17938,16962,20190603
장항선,배방,8684,8781,20190603
장항선,온양온천,65370,66035,20190603
장항선,아산,12901,11808,20190603
중앙선,지평,945,972,20190603
중앙선,원덕,7848,7751,20190603
중앙선,망우,78837,80031,20190603
중앙선,국수,10946,11043,20190603
중앙선,오빈,5042,4984,20190603
중앙선,양원,18186,18663,20190603
중앙선,도농,67128,64461,20190603
중앙선,회기,143110,143046,20190603
중앙선,양평,40652,41563,20190603
중앙선,덕소,56440,55934,20190603
중앙선,양정,10325,9174,20190603
중앙선,양수,25479,25667,20190603
중앙선,운길산,11956,12153,20190603
중앙선,상봉(시외버스터미널),44999,42508,20190603
중앙선,팔당,9374,9160,20190603
중앙선,도심,24153,22692,20190603
중앙선,아신,7626,7408,20190603
중앙선,용문,57277,56448,20190603
중앙선,신원,3992,3350,20190603
중앙선,중랑,58095,56864,20190603
중앙선,구리,98270,98334,20190603
우이신설선,삼양사거리,37748,38886,20190603
우이신설선,삼양,28340,31710,20190603
우이신설선,가오리,48326,49502,20190603
우이신설선,신설동,23061,20860,20190603
안산선,상록수,96069,97195,20190603
안산선,한대앞,43439,43520,20190603
안산선,중앙,64688,63373,20190603
안산선,초지,14808,15299,20190603
안산선,오이도,49651,49040,20190603
안산선,고잔,39236,37796,20190603
안산선,신길온천,10716,10183,20190603
안산선,수리산,42388,41144,20190603
안산선,대야미,32089,30258,20190603
안산선,정왕,27420,28915,20190603
안산선,안산,43946,40980,20190603
안산선,반월,33546,32651,20190603
안산선,산본,120411,121661,20190603
수인선,월곶,16634,16244,20190603
수인선,남동인더스파크,6458,6592,20190603
수인선,연수,32662,32655,20190603
수인선,숭의,33885,32436,20190603
수인선,인천논현,39415,39445,20190603
수인선,달월,1011,665,20190603
수인선,송도,26173,26179,20190603
수인선,호구포,20417,19751,20190603
수인선,인천,14582,19576,20190603
수인선,원인재,33085,33754,20190603
수인선,인하대,28246,26442,20190603
수인선,소래포구,78566,77651,20190603
수인선,신포,14642,15064,20190603
분당선,정자,83631,84651,20190603
분당선,죽전,91620,98277,20190603
분당선,선정릉,39743,39709,20190603
분당선,강남구청,44171,48039,20190603
분당선,구성,43641,43528,20190603
분당선,오리,91861,77934,20190603
분당선,기흥,48227,47737,20190603
분당선,모란,181427,201194,20190603
분당선,태평,97153,100006,20190603
분당선,미금,124474,135535,20190603
분당선,영통,34689,34898,20190603
분당선,수원시청,42677,43486,20190603
분당선,수원,31119,18660,20190603
분당선,선릉,38197,55753,20190603
분당선,대모산입구,32179,31947,20190603
분당선,보정,27394,25765,20190603
분당선,서현,150561,147855,20190603
분당선,수서,73032,74952,20190603
분당선,신갈,37805,37402,20190603
분당선,복정,0,0,20190603
분당선,가천대,30657,32844,20190603
분당선,개포동,24460,25243,20190603
분당선,망포,38336,36751,20190603
분당선,상갈,37883,35333,20190603
분당선,한티,76730,78262,20190603
분당선,매탄권선,19060,18310,20190603
분당선,서울숲,30246,29470,20190603
분당선,청명,21264,21258,20190603
분당선,야탑,186288,186530,20190603
분당선,수내,88158,88173,20190603
분당선,매교,18295,19058,20190603
분당선,이매,46853,45118,20190603
분당선,도곡,48516,46750,20190603
분당선,구룡,15979,15822,20190603
분당선,압구정로데오,45801,44029,20190603
과천선,경마공원,68797,68954,20190603
과천선,인덕원,119470,122382,20190603
과천선,평촌,73396,73544,20190603
과천선,대공원,63949,66026,20190603
과천선,선바위,38026,35971,20190603
과천선,정부과천청사,71718,68519,20190603
과천선,과천,39605,38148,20190603
과천선,범계,123690,120142,20190603
공항철도 1호선,인천공항1터미널,44785,42917,20190603
공항철도 1호선,공덕,7862,9175,20190603
공항철도 1호선,검암,21321,21515,20190603
공항철도 1호선,홍대입구,19382,18528,20190603
공항철도 1호선,영종,18621,18989,20190603
공항철도 1호선,김포공항,21628,16719,20190603
공항철도 1호선,청라국제도시,12431,12390,20190603
공항철도 1호선,인천공항2터미널,17703,15332,20190603
공항철도 1호선,디지털미디어시티,25615,23799,20190603
공항철도 1호선,서울역,40345,35870,20190603
공항철도 1호선,계양,34633,33203,20190603
공항철도 1호선,마곡나루,10652,10887,20190603
공항철도 1호선,운서,27824,27779,20190603
공항철도 1호선,공항화물청사,8711,8706,20190603
경춘선,평내호평,47748,45489,20190603
경춘선,가평,18774,18377,20190603
경춘선,남춘천,28053,31873,20190603
경춘선,금곡,18378,17620,20190603
경춘선,신내,8706,8671,20190603
경춘선,사릉,22695,22579,20190603
경춘선,퇴계원,29783,28625,20190603
경춘선,춘천,26596,19979,20190603
경춘선,천마산,20197,20300,20190603
경춘선,마석,40709,40661,20190603
경춘선,청평,21368,21175,20190603
경춘선,갈매,19207,17750,20190603
경춘선,상천,8064,7946,20190603
경춘선,김유정,4938,5119,20190603
경춘선,백양리,1946,2030,20190603
경춘선,별내,20157,19132,20190603
경춘선,대성리,7821,7373,20190603
경춘선,굴봉산,3796,3749,20190603
경춘선,강촌,6853,6662,20190603
경인선,부개,73808,72375,20190603
